Symbol,Name,Industry,Sector,Market Cap,P/E ttm,Price/Book,ROA%,ROE%,Debt/Equity,Price/Cash Flow,Ent Value,EBITDA(a),EBIT(a),Shares Out,Net Income(a),Beta,% Insider,% Institutional,Sales(a),Float,% Float,Price/Sales,Earnings Date,Latest Earnings
ACHC,Acadia Healthcr Company,Medical - Hospitals,Medical,2050175000,7.6,0.66,4.46%,8.72%,0.72,4.41,4047895000,785830000,632150000,92122000,255610000,0.93,1.30%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-05
ACHR,Archer Aviation Inc,Aerospace - Defense,Aerospace,6154413000,0,5.96,-61.07%,-79.78%,0.06,N/A,5377113000,-499800000,-511500000,549011000,-536800000,3.1,7.65%,59.34%,N/L,N/L,N/L,N/L,N/L,2025-08-11
ACHV,Achieve Life Sciences Inc,Medical - Drugs,Medical,92956000,0,9.11,-103.32%,-176.11%,0.13,N/A,80336000,-45730000,-45980000,34685000,-39830000,1.51,3.00%,33.52%,N/L,N/L,N/L,N/L,N/L,2025-08-07
ACI,Albertsons Companies Inc Cl A,Consumer Prdts - Misc Staple,Consumer Staples,11196920000,9.83,3.67,4.63%,37.92%,2.43,3.11,18723420000,4034890000,1535790000,559846000,958600000,0.44,1.35%,71.35%,N/L,N/L,N/L,N/L,N/L,2025-07-15
ACMR,Acm Research Inc,Semi-Eqpt Material Services,Computers and Technology,1761171000,19.74,1.52,5.74%,9.63%,0.2,15.24,1536541000,161510000,151540000,58843000,103630000,1.5,25.00%,66.75%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ACN,Accenture Plc,IT Services,Computers and Technology,177345040000,22.2,5.59,13.44%,26.55%,0.16,18.09,173365424000,12697680000,10529640000,626329000,7264790000,1.29,0.02%,75.14%,N/L,N/L,N/L,N/L,N/L,2025-06-20
ACRS,Aclaris Therapts,Medical - Drugs,Medical,184078000,0,1.26,-22.74%,-30.73%,0,N/A,159508000,-53360000,-54170000,108281000,-132070000,0.38,6.40%,98.34%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ACVA,Acv Auctions Inc Cl A,Auction Valuation Services,Business Services,2494128000,0,5.67,-5.17%,-12.06%,0.38,N/A,2393058000,250000,-36560000,171065000,-79700000,1.71,2.90%,88.55%,N/L,N/L,N/L,N/L,N/L,2025-08-11
ADAP,Adaptimmune Ther ADR,Medical - Biomedical,Medical,91947000,0,N/A,-23.65%,-163.73%,-0.68,N/A,51047000,-43530000,-54760000,265052000,-70810000,2.18,12.74%,31.37%,N/L,N/L,N/L,N/L,N/L,2025-08-11
ADBE,Adobe Systems Inc,Computer - Software,Computers and Technology,157267904000,22.86,13.77,24.17%,53.68%,0.54,21.66,155282912000,9245000000,8388000000,424200000,5560000000,1.51,0.16%,81.79%,N/L,N/L,N/L,N/L,N/L,2025-09-11
ADI,Analog Devices,Semi Analog & Mixed,Computers and Technology,113055216000,33.64,3.21,6.99%,9.56%,0.19,21.25,118097824000,5084630000,2980310000,496248000,1635270000,1.02,0.33%,86.81%,N/L,N/L,N/L,N/L,N/L,2025-08-20
ADM,Archer Daniels Midland,Agriculture Operations,Consumer Staples,26592908000,14.02,1.21,3.64%,8.71%,0.38,7.63,27276908000,2753000000,1612000000,480450000,1800000000,0.69,1.20%,78.28%,N/L,N/L,N/L,N/L,N/L,2025-08-05
ADMA,Adma Biologics,Medical - Biomedical,Medical,4299600000,30.91,11.06,30.51%,47.16%,0.19,31.98,4268790000,161120000,152270000,238734000,197670000,0.43,3.50%,75.68%,N/L,N/L,N/L,N/L,N/L,2025-08-14
ADNT,Adient Plc,Auto - Truck Original Parts,Auto-Tires-Trucks,1909706000,11.6,0.98,1.90%,7.70%,1.23,3.87,3459706000,747000000,415000000,84017000,18000000,1.69,0.72%,92.44%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ADP,Automatic Data Processing,Internet - Software,Computers and Technology,125280016000,31.15,21.23,7.18%,77.33%,0.68,23.33,125357920000,6893700000,5306800000,405923000,3752000000,0.76,0.21%,80.03%,N/L,N/L,N/L,N/L,N/L,2025-07-30
ADSK,Autodesk Inc,Internet - Software,Computers and Technology,64901920000,49.77,24.620001,12.63%,50.77%,0.76,38.900002,65289920000,1746000000,1354000000,214000000,1112000000,1.44,0.15%,90.24%,N/L,N/L,N/L,N/L,N/L,2025-09-04
ADT,ADT Inc,Protection - Safety,Industrial Products,7060145000,10.97,1.98,4.35%,18.58%,2.16,4.08,14563144000,3927230000,2679780000,836510000,501050000,1.21,2.70%,87.22%,N/L,N/L,N/L,N/L,N/L,2025-07-24
ADUR,Aduro Clean Technologies Inc,Technology Services,Business Services,331734000,0,N/A,0.00%,0.00%,0,N/A,331734000,0,0,30631000,-7436861,N/A,N/A,N/A,N/L,N/L,N/L,N/L,N/L,N/A
AEHR,Aehr Test Systems,Electronics - Measuring Inst,Computers and Technology,647221000,0,5.1,-0.13%,-0.15%,0,17.799999,598061000,11440000,-2470000,29771000,-3910000,2.29,6.20%,69.69%,N/L,N/L,N/L,N/L,N/L,2025-07-08
AEM,Agnico-Eagle Mines Ltd,Mining - Gold,Basic Materials,63780436000,25.16,2.93,8.38%,12.09%,0.05,17.379999,63996964000,6839870000,5325790000,502802000,1895580000,0.5,0.51%,68.34%,N/L,N/L,N/L,N/L,N/L,2025-07-30
AEO,American Eagle Outfitters,Retail - Apparel & Shoes,Retail-Wholesale,2034166000,10.07,1.33,5.99%,13.34%,0.07,3.81,1725206000,702210000,475330000,173268000,329380000,1.45,8.70%,97.33%,N/L,N/L,N/L,N/L,N/L,2025-09-04
AEP,American Electric Power Company,Utility - Electric Power,Utilities,58649272000,18.53,2.13,3.08%,11.68%,1.69,9.1,103569872000,11144200000,7751400000,534195000,2967100000,0.42,0.07%,75.24%,N/L,N/L,N/L,N/L,N/L,2025-07-30
AER,Aercap Holdings N.V.,Transportation - Equip & Lease,Transportation,20953318000,9.03,1.22,3.26%,13.84%,2.69,4.07,64846248000,7473580000,4675130000,186783000,2098630000,1.38,0.52%,96.42%,N/L,N/L,N/L,N/L,N/L,2025-07-30
AES,The Aes Corp,Utility - Electric Power,Utilities,9824537000,7.26,1.27,2.80%,18.06%,3.96,3.41,36881536000,1859000000,595000000,711923000,1679000000,0.95,0.64%,93.13%,N/L,N/L,N/L,N/L,N/L,2025-07-31
AESI,Atlas Energy Solutions Inc Cl A,Oil - US Integrated,Oils-Energy,1736875000,28.67,1.34,2.70%,4.99%,0.41,8.25,2175905000,343740000,225210000,123621000,59940000,1.2,15.98%,34.59%,N/L,N/L,N/L,N/L,N/L,2025-08-04
AEVA,Aeva Technologies Inc,Auto - Truck Original Parts,Auto-Tires-Trucks,1182444000,0,18.84,-85.08%,-117.06%,0,N/A,1153584000,-146040000,-151450000,55023000,-152260000,1.95,27.20%,62.92%,N/L,N/L,N/L,N/L,N/L,2025-08-06
AEYE,Audioeye Inc,Internet - Software,Computers and Technology,180766000,52.4,20.540001,9.46%,36.54%,1.45,29.549999,181936000,-810000,-3700000,12458000,-4250000,0.9,28.80%,51.11%,N/L,N/L,N/L,N/L,N/L,2025-08-07
AFCG,Advanced Flower Capital Inc,REIT - Mortgage Trusts,Finance,103038000,3.4,0.51,7.26%,12.18%,0.11,3.16,99428000,24830000,23800000,22596000,16780000,1.07,26.80%,26.53%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AFL,Aflac Inc,Insurance - Accident & Health,Finance,55886476000,14.21,2.1,3.30%,15.55%,0.29,11.56,57155476000,5443000000,4592000000,540645000,5443000000,0.81,0.90%,67.44%,N/L,N/L,N/L,N/L,N/L,2025-08-05
AFRM,Affirm Holdings Inc Cl A,Internet - Software,Computers and Technology,21643232000,0,7.38,-0.61%,-2.22%,2.15,N/A,25581262000,-162640000,-218790000,322600000,-517760000,3.63,11.82%,69.29%,N/L,N/L,N/L,N/L,N/L,2025-08-27
AG,First Majestic Silver,Mining - Silver,Basic Materials,4175767000,0,1.48,-0.10%,-0.14%,0.07,32.32,4183077000,337070000,211580000,487254000,-101890000,0.82,0.85%,27.16%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AGEN,Agenus Inc,Medical - Biomedical,Medical,163405000,0,N/A,-82.33%,0.00%,-0.1,N/A,156135000,-87560000,-100900000,27417000,-227210000,1.51,5.50%,61.46%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AGI,Alamos Gold Inc,Mining - Gold,Basic Materials,10875955000,31.37,3.01,6.71%,9.83%,0.07,19.75,10798755000,956300000,737900000,420408000,284300000,0.54,0.46%,64.33%,N/L,N/L,N/L,N/L,N/L,2025-07-30
AGL,Agilon Health Inc,Medical Services,Medical,852741000,0,1.71,-12.75%,-45.47%,0.07,N/A,693781000,-253510000,-277970000,413952000,-260150000,0.16,3.57%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-05
AGNC,Agnc Investment Corp,REIT - Mortgage Trusts,Finance,9907841000,5.94,1.05,1.76%,19.63%,6.6,4.93,70726840000,593000000,470000000,1020375000,863000000,1.28,0.42%,38.28%,N/L,N/L,N/L,N/L,N/L,2025-07-21
AGX,Argan Inc,Building & Construction - Misc,Construction,3218046000,31.47,8.41,12.82%,29.61%,0,34.860001,3072786000,107930000,106020000,13641000,85460000,0.54,6.69%,79.43%,N/L,N/L,N/L,N/L,N/L,2025-09-04
AHCO,Adapthealth Corp Cl. A,Medical Products,Medical,1273909000,12.63,0.79,2.40%,6.96%,1.24,2.43,3145329000,671090000,287010000,134948000,90420000,1.63,1.55%,82.67%,N/L,N/L,N/L,N/L,N/L,2025-08-05
AHH,Armada Hoffler Properties Inc,REIT - Equity Trust Resident,Finance,713293000,5.85,1.03,0.81%,2.98%,1.63,4.28,2200373000,283040000,193720000,101320000,35650000,1.1,10.20%,66.35%,N/L,N/L,N/L,N/L,N/L,2025-08-04
AI,C3.Ai Inc Cl A,IT Services,Computers and Technology,3495380000,0,4.15,-27.48%,-33.51%,0,N/A,3331020000,-311830000,-324440000,134386000,-288700000,1.99,33.54%,38.96%,N/L,N/L,N/L,N/L,N/L,2025-09-03
AIG,American International Group,Insurance - Multi Line,Finance,46164036000,16.3,1.1,1.87%,7.13%,0.21,6.99,53784036000,-4446000000,-8043000000,576330000,-1404000000,0.63,0.50%,90.60%,N/L,N/L,N/L,N/L,N/L,2025-08-06
AIOT,Powerfleet Inc,Transportation - Services,Transportation,609506000,0,1.37,-6.27%,-11.67%,0.52,N/A,792876000,21600000,-25890000,133371000,-50990000,1.32,7.79%,73.40%,N/L,N/L,N/L,N/L,N/L,2025-08-28
AIRO,Airo Group Holdings Inc,Aerospace - Defense,Aerospace,462388000,0,N/A,0.00%,0.00%,0,N/A,462388000,0,0,20174000,-38694239,N/A,N/A,0.00%,N/L,N/L,N/L,N/L,N/L,2022-06-30
AIRS,Airsculpt Technologies Inc,Technology Services,Business Services,380307000,0,4.76,-5.85%,-15.01%,0.95,37.509998,446777000,9790000,-2100000,58780000,-8250000,2.46,76.58%,91.54%,N/L,N/L,N/L,N/L,N/L,2025-08-01
AISP,Airship Ai Holdings Inc,Technology Services,Business Services,180555000,0,N/A,-51.77%,0.00%,0,N/A,169145000,-3590000,-3810000,31844000,-57460000,0.33,57.90%,5.89%,N/L,N/L,N/L,N/L,N/L,2025-08-13
AJG,Arthur J. Gallagher & Company,Insurance - Brokers,Finance,80707360000,29.95,3.54,3.80%,14.83%,0.56,24.74,78451960000,4152600000,3310300000,256100000,1462700000,0.71,1.60%,85.53%,N/L,N/L,N/L,N/L,N/L,2025-07-31
AKAM,Akamai Technologies,Internet - Services,Computers and Technology,11806134000,18.34,2.57,6.59%,14.09%,0.25,8.97,12437544000,1274890000,619960000,146206000,504920000,0.77,2.00%,94.28%,N/L,N/L,N/L,N/L,N/L,2025-08-07
AKBA,Akebia Therapeutics,Medical - Drugs,Medical,934984000,0,40.900002,-18.92%,0.00%,1.89,N/A,921804000,19660000,-22040000,262636000,-69410000,0.88,3.00%,33.92%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AKRO,Akero Therapeutics Inc,Medical - Biomedical,Medical,4030542000,0,3.71,-13.97%,-15.19%,0.03,N/A,3725792000,-318830000,-306340000,79718000,-252060000,-0.15,7.07%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-08
ALAB,Astera Labs Inc,Internet - Software,Computers and Technology,20157806000,1216.8,19.27,2.36%,2.57%,0,N/A,20078256000,-27010000,-21820000,164917000,-83420000,1.18,N/A,60.47%,N/L,N/L,N/L,N/L,N/L,2025-08-05
ALB,Albemarle Corp,Chemical - Diversified,Basic Materials,9852932000,0,1.23,-0.92%,-1.92%,0.34,21.99,14411972000,-1280950000,-1869590000,117661000,-1179450000,1.63,0.33%,92.87%,N/L,N/L,N/L,N/L,N/L,2025-07-30
ALC,Alcon Inc,Medical Instruments,Medical,45309396000,30.63,2.06,4.92%,6.95%,0.21,16.540001,48276396000,2739000000,1513000000,493244000,1018000000,0.95,1.52%,53.86%,N/L,N/L,N/L,N/L,N/L,2025-08-19
ALGM,Allegro Microsystems Inc,Electronics - Semiconductors,Computers and Technology,6231973000,655.2,6.48,0.70%,1.04%,0.38,75.599998,6453523000,47220000,-19800000,184925000,-73010000,1.75,0.40%,56.45%,N/L,N/L,N/L,N/L,N/L,2025-07-31
ALGN,Align Technology,Medical - Dental Suppliers,Medical,14900016000,29.09,3.9,8.36%,13.53%,0,22.49,13856126000,762800000,617770000,72485000,421360000,1.63,0.66%,88.43%,N/L,N/L,N/L,N/L,N/L,2025-07-30
ALGT,Allegiant Travel Com,Transportation - Airline,Transportation,924250000,13.76,0.83,1.42%,5.46%,1.81,3.05,2688440000,325550000,67300000,18255000,-240240000,1.71,14.70%,85.81%,N/L,N/L,N/L,N/L,N/L,2025-08-04
ALHC,Alignment Healthcare Inc,Medical Services,Medical,2326634000,0,21.129999,-11.75%,-80.49%,2.95,N/A,2215204000,-11570000,-37350000,197843000,-128040000,1.16,7.00%,86.19%,N/L,N/L,N/L,N/L,N/L,2025-07-30
ALK,Alaska Air Group,Transportation - Airline,Transportation,6402744000,12.02,1.58,2.70%,12.62%,1.16,5.34,10105744000,1553000000,970000000,122752000,395000000,1.41,1.00%,81.90%,N/L,N/L,N/L,N/L,N/L,2025-07-23
ALKS,Alkermes Plc,Medical - Biomedical,Medical,4308863000,11.74,2.89,17.98%,27.52%,0,10.01,4017713000,419690000,391160000,164901000,367070000,0.44,4.40%,95.21%,N/L,N/L,N/L,N/L,N/L,2025-07-29
ALKT,Alkami Technology Inc,Internet - Software,Computers and Technology,2808325000,0,8.46,-4.56%,-7.06%,1.18,N/A,2713965000,-35300000,-46020000,103020000,-40840000,0.59,18.10%,54.97%,N/L,N/L,N/L,N/L,N/L,2025-07-30
ALL,Allstate Corp,Insurance - Proprty & Casualty,Finance,51824880000,11.6,2.56,4.10%,24.62%,0.37,9.21,61206880000,6311000000,5756000000,264818000,4667000000,0.33,1.70%,76.47%,N/L,N/L,N/L,N/L,N/L,2025-07-30
ALLT,Allot Communications,Technology Services,Business Services,363872000,0,6.29,-1.73%,-4.90%,0,168.410004,346822000,2230000,-3990000,46531000,-5870000,1.36,3.40%,51.50%,N/L,N/L,N/L,N/L,N/L,2025-08-26
ALLY,Ally Financial,Finance - Consumer Loans,Finance,11838524000,11.63,0.96,0.59%,9.48%,1.09,5.73,21365524000,4070000000,2871000000,307175000,668000000,1.15,0.67%,88.76%,N/L,N/L,N/L,N/L,N/L,2025-07-18
ALMS,Alumis Inc,Medical - Biomedical,Medical,211095000,0,1.25,-107.29%,-406.27%,0,N/A,41565000,-351540000,-354690000,54406000,-294230000,N/A,40.70%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-12
ALNT,Allient Inc,Electronics - Misc Components,Computers and Technology,672759000,28.67,2.44,3.86%,8.45%,0.81,12.95,860839000,65620000,39190000,16929000,13170000,1.51,15.60%,61.57%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ALNY,Alnylam Pharmaceuticals,Medical - Biomedical,Medical,42872880000,0,370.48999,-6.48%,-510.31%,0,N/A,41906452000,-58700000,-115370000,130388000,-278160000,0.23,1.50%,92.97%,N/L,N/L,N/L,N/L,N/L,2025-07-31
ALT,Altimmune Inc,Medical - Drugs,Medical,330917000,0,2.23,-58.43%,-65.44%,0,N/A,293947000,-101820000,-98210000,81107000,-95060000,0.47,4.10%,78.05%,N/L,N/L,N/L,N/L,N/L,2025-08-14
ALTS,Alt5 Sigma Corporation,Finance - Misc Services,Finance,123581000,0,15.3,-8.96%,-113.79%,0.39,N/A,150261000,-4500000,-7930000,17455000,-6250000,2.21,4.90%,6.27%,N/L,N/L,N/L,N/L,N/L,2025-07-04
AM,Antero Midstream Corp,Oil - US Integrated,Oils-Energy,8180268000,19.63,3.92,7.24%,19.75%,1.49,13.31,11297228000,1022470000,805790000,479219000,400890000,1.01,0.61%,53.97%,N/L,N/L,N/L,N/L,N/L,2025-07-30
AMAT,Applied Materials,Electronics - Semiconductors,Computers and Technology,149015856000,20.43,7.96,22.43%,40.14%,0.33,20.4,147252864000,8724000000,8332000000,802498000,7177000000,1.69,0.24%,80.56%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AMBA,Ambarella Inc,Electronics - Semiconductors,Computers and Technology,2855311000,0,5.02,-14.43%,-17.50%,0,N/A,2710681000,-87530000,-113010000,42414000,-117130000,2.05,5.30%,82.09%,N/L,N/L,N/L,N/L,N/L,2025-08-26
AMBC,Ambac Financial Group,Insurance - Proprty & Casualty,Finance,409486000,0,0.43,-0.28%,-1.80%,0.15,37.029999,653066000,-15440000,-35090000,46427000,-556450000,0.86,6.20%,84.49%,N/L,N/L,N/L,N/L,N/L,2025-08-04
AMBP,Ardagh Metal Packaging S.A.,Metal Production & Fabrication,Basic Materials,2247352000,18.48,N/A,2.71%,-98.66%,-17.72,3.89,5539352000,815000000,366000000,597700000,-3000000,0.56,0.02%,16.93%,N/L,N/L,N/L,N/L,N/L,2025-07-24
AMC,AMC Entertainment Holdings,Leisure & Recreation Services,Consumer Discretionary,1403838000,0,N/A,-5.68%,0.00%,-2.32,N/A,4798138000,507500000,197200000,431950000,-352600000,1.43,0.32%,28.80%,N/L,N/L,N/L,N/L,N/L,2025-08-01
AMCR,Amcor Plc,Containers - Paper Products,Industrial Products,14077641000,13.75,3.66,6.11%,26.49%,2.24,8.71,20104640000,1922000000,1317000000,1445343000,730000000,0.73,0.60%,45.14%,N/L,N/L,N/L,N/L,N/L,2025-08-21
AMD,Adv Micro Devices,Computer - Integrated Systems,Computers and Technology,269915136000,55.52,4.53,6.83%,8.30%,0.07,35.099998,267849136000,7405000000,4228000000,1621404000,1641000000,2.05,0.06%,71.34%,N/L,N/L,N/L,N/L,N/L,2025-08-05
AMGN,Amgen Inc,Medical - Biomedical,Medical,164849904000,14.86,26.73,12.39%,176.11%,9.24,10.16,212975904000,13037000000,7445000000,537706000,4090000000,0.49,0.76%,76.50%,N/L,N/L,N/L,N/L,N/L,2025-08-05
AMKR,Amkor Technology,Electronics - Semiconductors,Computers and Technology,5227705000,16.52,1.25,4.56%,7.60%,0.27,5.48,5253615000,995060000,396860000,247056000,354010000,1.85,26.90%,42.76%,N/L,N/L,N/L,N/L,N/L,2025-07-28
AMLX,Amylyx Pharmaceuticals Inc,Medical - Drugs,Medical,726499000,0,3.67,-63.84%,-77.21%,0,N/A,649109000,-323680000,-314730000,89141000,-301740000,-0.49,11.70%,95.84%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AMPL,Amplitude Inc Cl A,Technology Services,Business Services,1256685000,0,4.33,-21.21%,-32.50%,0,N/A,1084125000,-100770000,-106880000,98796000,-94320000,1.54,23.83%,73.20%,N/L,N/L,N/L,N/L,N/L,2025-08-06
AMPX,Amprius Technologies Inc,Technology Services,Business Services,967001000,0,13.89,-38.69%,-67.67%,0,N/A,911841000,-40560000,-45610000,117927000,-44670000,2.68,12.90%,5.04%,N/L,N/L,N/L,N/L,N/L,2025-08-07
AMR,Alpha Metallurgical Resources Inc,Mining - Misc,Basic Materials,1753149000,68.36,1.12,1.09%,1.62%,0,4.64,1277359000,422920000,222720000,13053000,187580000,0.66,16.00%,84.29%,N/L,N/L,N/L,N/L,N/L,2025-08-08
AMRZ,Amrize Ltd,Building & Construction - Misc,Construction,0,0,N/A,0.00%,0.00%,0,N/A,0,0,0,0,1419000000,N/A,N/A,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-06
AMSC,Amer Superconductor,Electronics - Misc Components,Computers and Technology,1706529000,100.02,8.61,5.53%,8.89%,0,74.510002,1625419000,7200000,660000,39503000,6030000,2.91,4.80%,52.28%,N/L,N/L,N/L,N/L,N/L,2025-07-30
AMT,American Tower Corp,REIT - Equity Trust Other,Finance,107610880000,22.02,10.9,4.82%,30.20%,3.71,19.969999,142004480000,8684800000,6505900000,468138000,2255000000,0.82,0.17%,92.69%,N/L,N/L,N/L,N/L,N/L,2025-07-29
AMTM,Amentum Holdings Inc,Engineering & R&D Services,Industrial Products,6226610000,0,1.34,0.00%,0.00%,1.02,8.28,10453610000,902000000,629000000,243322000,-82000000,N/A,18.67%,39.93%,N/L,N/L,N/L,N/L,N/L,2025-08-05
AMTX,Aemetis Inc,Biofuels,Oils-Energy,176627000,0,N/A,-35.80%,0.00%,-1.11,N/A,613597000,-31670000,-46520000,55369000,-87540000,1.57,14.70%,27.02%,N/L,N/L,N/L,N/L,N/L,2025-08-07
AMZN,Amazon.com Inc,Internet Commerce,Retail-Wholesale,2457048640000,38.01,8.06,10.90%,24.14%,0.17,21.969999,2195488640000,124486000000,71691000000,10616353000,59248000000,1.33,9.70%,72.20%,N/L,N/L,N/L,N/L,N/L,2025-07-31
AN,Autonation Inc,Retail - Wsale Auto & Trucks,Retail-Wholesale,7662728000,11.34,3.14,5.44%,30.08%,1.88,8.24,11672528000,1795000000,1545400000,37701000,692200000,0.99,1.00%,94.62%,N/L,N/L,N/L,N/L,N/L,2025-07-25
ANET,Arista Networks Inc,Internet - Software,Computers and Technology,143526656000,50.52,14.15,21.72%,30.48%,0,54.619999,140764288000,3144840000,3143270000,1255921000,2852050000,1.4,3.39%,82.47%,N/L,N/L,N/L,N/L,N/L,2025-08-05
ANF,Abercrombie & Fitch Company,Retail - Apparel & Shoes,Retail-Wholesale,4399355000,9.24,3.72,16.76%,42.32%,0,6.43,3626625000,881850000,712500000,47643000,566220000,1.46,2.29%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-27
ANVS,Annovis Bio Inc,Medical - Biomedical,Medical,56315000,0,2.31,-193.50%,-300.56%,0,N/A,45765000,-25160000,-25160000,19486000,-24590000,1.57,20.80%,15.83%,N/L,N/L,N/L,N/L,N/L,2025-08-13
